ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
Kentucky,CY 2015,"1,930",Burma,526,Lexington,11,"66,517"
Kentucky,CY 2014,"1,966",Cuba,152,Lexington,11,"72,820"
Kentucky,CY 2013,"1,569",Dem. Rep. Congo,166,Bowling Green,11,"66,066"
Kentucky,CY 2014,"1,966",Dem. Rep. Congo,181,Bowling Green,11,"72,820"
Kentucky,CY 2012,"1,621",Pakistan,11,Louisville,11,"66,292"
Kentucky,CY 2016,"2,847",Rwanda,22,Louisville,11,"96,874"
Kentucky,CY 2010,"2,079",Sudan,11,Louisville,11,"71,362"
Kentucky,CY 2015,"1,930",Syria,111,Lexington,11,"66,517"
Louisiana,CY 2010,363,Afghanistan,15,Baton Rouge,11,"71,362"
Louisiana,CY 2011,237,Burma,121,Alexandria,11,"51,458"
Louisiana,CY 2012,187,Burma,87,Bossier City,11,"66,292"
Louisiana,CY 2013,192,Cuba,36,Alexandria,11,"66,066"
Maine,CY 2016,714,Burundi,11,Portland,11,"96,874"
Maine,CY 2011,171,Iraq,39,Westbrook,11,"51,458"
Maryland,CY 2011,"1,171",Burma,325,Elkridge,11,"51,458"
Maryland,CY 2012,"1,218",Burma,361,Elkridge,11,"66,292"
Maryland,CY 2013,"1,180",Burma,366,Gaithersburg,11,"66,066"
Maryland,CY 2016,"1,952",Burma,223,Jessup,11,"96,874"
Maryland,CY 2015,"1,453",Burma,531,Riverdale,11,"66,517"
Maryland,CY 2014,"1,335",Burma,427,Rockville,11,"72,820"
Maryland,CY 2014,"1,335",Central African Republic,11,Baltimore,11,"72,820"
Maryland,CY 2014,"1,335",Ethiopia,21,Silver Spring,11,"72,820"
Maryland,CY 2013,"1,180",Iran,50,Silver Spring,11,"66,066"
Maryland,CY 2016,"1,952",Iraq,159,Riverdale,11,"96,874"
Maryland,CY 2011,"1,171",Pakistan,11,Silver Spring,11,"51,458"
Maryland,CY 2013,"1,180",Sudan,70,Silver Spring,11,"66,066"
Massachusetts,CY 2015,"1,666",Bhutan,204,Lynn,11,"66,517"
Massachusetts,CY 2012,"1,885",Burma,177,Boston,11,"66,292"
Massachusetts,CY 2011,"1,400",Burma,200,South Boston,11,"51,458"
Massachusetts,CY 2015,"1,666",Burundi,45,Worcester,11,"66,517"
Massachusetts,CY 2010,"1,822",Dem. Rep. Congo,68,Lowell,11,"71,362"
Massachusetts,CY 2015,"1,666",Eritrea,56,South Boston,11,"66,517"
Massachusetts,CY 2010,"1,822",Iraq,647,Framingham,11,"71,362"
Massachusetts,CY 2012,"1,885",Rwanda,11,Springfield,11,"66,292"
Massachusetts,CY 2012,"1,885",Somalia,240,Jamaica Plain,11,"66,292"
Massachusetts,CY 2014,"1,892",Somalia,358,Roxbury,11,"72,820"
Massachusetts,CY 2016,"1,827",Somalia,227,South Boston,11,"96,874"
Massachusetts,CY 2012,"1,885",Sudan,40,South Boston,11,"66,292"
Massachusetts,CY 2016,"1,827",Syria,195,Boston,11,"96,874"
Michigan,CY 2013,"4,125",Afghanistan,11,Lansing,11,"66,066"
Michigan,CY 2011,"2,163",Central African Republic,11,Lansing,11,"51,458"
Michigan,CY 2013,"4,125",Central African Republic,11,Lansing,11,"66,066"
Michigan,CY 2010,"3,446",Dem. Rep. Congo,121,Battle Creek,11,"71,362"
Michigan,CY 2011,"2,163",Iraq,"1,073",Commerce,11,"51,458"
Michigan,CY 2013,"4,125",Iraq,"2,938",Macomb,11,"66,066"
Michigan,CY 2010,"3,446",Iraq,"2,174",Rochester Hills,11,"71,362"
Michigan,CY 2012,"4,585",Iraq,"3,434",Rochester Hills,11,"66,292"
Michigan,CY 2014,"3,932",Iraq,"2,642",Shelby,11,"72,820"
Michigan,CY 2016,"5,039",Iraq,"1,300",Southfield,11,"96,874"
Michigan,CY 2013,"4,125",Iraq,"2,938",Utica,11,"66,066"
Michigan,CY 2012,"4,585",Iraq,"3,434",Waterford,11,"66,292"
